,id,name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Term,Popularity
0,27934,Nice room with superb city view,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,65,2020-01-06,0.5,2,High,0,Short,Unpopuler
1,27979,"Easy going landlord,easy place",Bang Na,13.66818,100.61674,Private room,1316,0,1970-01-01,0.0,2,High,0,Short,Unpopuler
2,28745,modern-style apartment in Bangkok,Bang Kapi,13.75232,100.62402,Private room,800,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
3,35780,Spacious one bedroom at The Kris Condo Bldg. 3,Din Daeng,13.78823,100.57256,Private room,1286,2,2022-04-01,0.03,1,High,1,Short,Unpopuler
4,941865,Suite Room 3 at MetroPoint,Bang Kapi,13.76872,100.63338,Private room,1905,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
5,1704776,NEw Pro!!  Bungalow Bkk Centre,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,19,2017-08-03,0.17,41,High,0,Long,Unpopuler
6,48736,Condo with Chaopraya River View,Rat Burana,13.68556,100.49535,Private room,1558,1,2014-02-03,0.01,1,High,0,Short,Unpopuler
7,1738669,1 chic bedroom apartment in BKK,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
8,1744248,"Batcave, Pool view, near Chatuchak",Chatu Chak,13.81693,100.56433,Entire home/apt,1558,10,2016-03-29,0.09,1,High,0,Short,Unpopuler
9,952677,Standard Room Decor do Hostel,Khlong San,13.7204,100.50757,Private room,700,4,2019-12-27,0.03,10,Low,0,Short,Unpopuler
10,55681,Sathorn Terrace Apartment(61),Bang Rak,13.71934,100.5176,Private room,1150,27,2019-01-03,0.19,7,High,0,Short,Unpopuler
11,1765918,2BR apt in a cozy neighborhood,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,129,2022-09-30,1.17,1,High,1,Short,Unpopuler
12,55686,Comfy bedroom near River pier & BTS  Taksin.,Sathon,13.71802,100.51539,Hotel room,1862,208,2019-12-02,1.44,7,High,0,Short,Unpopuler
13,59221,budget hotel bangkok near subway,Din Daeng,13.77941,100.57383,Entire home/apt,910,3,2018-07-30,0.02,2,High,0,Short,Unpopuler
14,959254,"Deluxe Condo, Nana, Pool/GYM/Sauna",Khlong Toei,13.71516,100.56806,Entire home/apt,1400,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
15,62217,Luxury@swimpool/FreeWiFi/nearJJMkt,Phaya Thai,13.79152,100.53982,Private room,4156,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
16,1791481,Nice and Quiet condo near BTS Onnut,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,78,2019-05-31,0.78,1,High,0,Long,Unpopuler
17,66046,"24Flr- 1br Apt near JJ, MRT, BTS",Chatu Chak,13.82298,100.56484,Entire home/apt,122594,9,2020-03-04,0.09,6,High,0,Short,Unpopuler
18,105042,Central Bangkok 3 Bedroom Apartment,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,148,2020-01-07,1.08,1,High,0,Long,Unpopuler
19,1793000,The Duplex - Asoke- Luxury 92sqm,Vadhana,13.74668,100.56137,Entire home/apt,5034,287,2022-11-22,2.59,1,High,3,Short,Populer
20,960858,"New, Stylish & Luxury Studio Condo",Sai Mai,13.9077,100.64473,Private room,1500,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
21,113744,River View - Ivy Condo (1 Bedroom),Rat Burana,13.68568,100.49231,Private room,1385,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
22,965722,Siamese Gioia on Sukhumvit 31,Vadhana,13.74444,100.57003,Private room,3775,3,2018-12-24,0.05,1,High,0,Long,Unpopuler
23,1808600,Contemporary Modern Duplex-Thong Lo,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,83,2018-09-12,0.75,1,Low,0,Long,Unpopuler
24,118118,Pan Dao Condo 5 min from BTS On Nut,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,3,2013-10-09,0.02,1,High,0,Short,Unpopuler
25,1816517,1 BR condominium center BKK +NETFLIX+55SQM,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,76,2018-04-05,0.7,1,High,0,Short,Unpopuler
26,969792,1 penthouse in central Bangkok,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
27,121410,"MetroPoint Suite Room, Near Airport",Bang Kapi,13.76747,100.63287,Private room,1190,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
28,145343,Boutique Rooms Near Bangkok Airport,Lat Krabang,13.721868,100.771713,Private room,1329,28,2022-11-25,0.28,1,High,13,Short,Unpopuler
29,973830,BangLuang House1 @ Bangkok Thailand,Bangkok Yai,13.73292,100.46413,Private room,2078,76,2019-12-31,0.64,3,High,0,Short,Unpopuler
30,156583,Studio near Chula University/Silom walk to MRT/BTS,Bang Rak,13.7285,100.52313,Entire home/apt,1176,63,2022-11-25,0.47,2,Low,2,Short,Unpopuler
31,1823321,กรองทองแมนชั่น (ลาดพร้าว 81),Wang Thong Lang,13.78938,100.6134,Private room,600,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
32,159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,Vadhana,13.74293,100.55603,Entire home/apt,1659,212,2022-12-08,1.58,3,High,7,Short,Unpopuler
33,976690,Beautiful 1 BR apartment @BTS Ari,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,90,2022-11-15,0.77,4,High,2,Short,Unpopuler
34,978531,Urban Oasis in the heart of Bangkok,Sathon,13.72291,100.53759,Entire home/apt,5429,3,2018-12-18,0.03,3,Low,0,Short,Unpopuler
35,166267,1Bed apt. near Chula University/Silom,Bang Rak,13.72733,100.52555,Entire home/apt,1843,71,2022-11-30,0.54,2,Low,5,Short,Unpopuler
36,169285,Stay at the ROARING RATCHADA!,Huai Khwang,13.78118,100.58349,Private room,1316,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
37,978969,"60 m2 apartment in Thong Lor, Bangkok",Vadhana,13.73224,100.57803,Entire home/apt,1870,5,2019-11-10,0.05,1,High,0,Short,Unpopuler
38,1842066,ICONSIAM River view  on 49th floor,Bang Rak,13.72287,100.51678,Private room,2500,15,2015-12-08,0.14,1,Low,0,Long,Unpopuler
39,169514,2br apt in Sukhumvit Asoke near BTS,Vadhana,13.74464,100.55784,Entire home/apt,1732,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
40,1849029,Self catering cozy1-bed near BTS,Vadhana,13.7137,100.59637,Entire home/apt,1300,7,2018-12-18,0.06,1,High,0,Long,Unpopuler
41,1862089,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,Sathon,13.72062,100.54707,Entire home/apt,1200,419,2022-12-07,3.77,37,High,1,Short,Populer
42,985743,Room with city view of BKK,Sathon,13.71803,100.54654,Private room,3500,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
